id,post_parent,image,image_gallery,post_title,post_content,post_excerpt,post_name,post_date,_sku,product_cat,product_tag,_regular_price,_sale_price,_sale_price_dates_from,_sale_price_dates_to,_featured,_tax_status,_tax_class,_weight,_height,_width,_length,_stock,_stock_status,_manage_stock,_backorders,_sold_individually,product_shipping_class,grouped_items,_product_adminlink,_purchase_note,post_status,_visibility,_upsell_ids,_crosssell_ids,_downloadable,_virtual,_download_expiry,_download_limit,_downloadable_files,_download_type,_product_url,_button_text,comment_status,menu_order,product_type,_product_permalink,_default_attributes,_custom_attributes,_variation_description,post_author,attribute_pa_size,attribute_pa_team,attribute_pa_color,attribute_pa_design,attribute_pa_name-printing-embroidery,attribute_pa_trainingshoe,attribute_pa_racespikes,attribute_pa_trainshoesize,attribute_pa_racespikesize,attribute_pa_tsize,attribute_pa_soccershoe,attribute_pa_shinguardsize,attribute_pa_soccerballsize,attribute_pa_sports-emblem-on-jacket
77771,0,https://ritchiessports.com/wp-content/uploads/2020/04/ascis-mens-4000.jpg,,Men's  Asics GT-4000 (Men's Running),,"Run further for longer in the men's GT-4000&#x2122; running shoe, specifically geared to enhance your performance. Designed to give you the boost you need to really go the distance, this ASICS running shoe offers excellent cushioning with GEL® technology and SpEVA foam to the midsole, which help to put a spring in your step. Whether you're running competitively or just for fun, it doesn't matter. The GT-4000&#x2122; running shoe offers the stability you need with the inclusion of GUIDANCE LINE&#x2122; technology and TRUSSTIC SYSTEM® technology, which enhance gait efficiency and control torsion for an overall improved performance. The I.G.S® (Impact Guidance System) technology also works to improve the gait, helping the feet to move in a more natural manner. Crafted with mesh fabric to allow the feet to breathe, this lightweight running shoe offers a high-energy bounce with its FLYTEFOAM® technology, as well as better foot protection thanks to its DUOMAX® midsole. This feature helps to counteract overpronation by supporting the arch and midsole, reducing the risk of bunions and flat feet and thus promising a better running technique. molded AHARPLUS&#x2122; rubber heel plug brings a hardwearing quality to the shoe, minimizing scuffs caused by excessive wear, while a molded internal heel counter provides an adaptive fit. Complete with a signature design finish, the GT-4000&#x2122; shoe will help you take your running up to the next level.",mens-asics-gt-4000-mens-running,2020-04-14 00:48:00,,Running Shoes,,50.00,,,,,taxable,Standard,,,,,2,instock,yes,no,,,,post.php?post=77771&action=edit,,publish,,,,no,no,-1,-1,,,,,no,0,variable,https://ritchiessports.com/product/mens-asics-gt-4000-mens-running/,,,,Joshua Ritchie,,,Dark Grey/Safety Yellow,,,,,"men\'s 7.5, men\'s 10.5, men\'s 11, men\'s 11.5, men\'s 12, men\'s 12.5, men\'s 13, men\'s 14",,,,,,
77778,77771,,,Men's  Asics GT-4000 (Men's Running) [#77771 var] (men\'s 7.5)(Dark Grey/Safety Yellow),,,,,,,,130,,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,1,,,,,,,,,Dark Grey/Safety Yellow,,,,,men\'s 7.5,,,,,,
77779,77771,,,Men's  Asics GT-4000 (Men's Running) [#77771 var] (men\'s 14)(Dark Grey/Safety Yellow),,,,,,,,130,,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,2,,,,,,,,,Dark Grey/Safety Yellow,,,,,men\'s 14,,,,,,
77780,77771,,,Men's  Asics GT-4000 (Men's Running) [#77771 var] (men\'s 13)(Dark Grey/Safety Yellow),,,,,,,,130,,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,3,,,,,,,,,Dark Grey/Safety Yellow,,,,,men\'s 13,,,,,,
77781,77771,,,Men's  Asics GT-4000 (Men's Running) [#77771 var] (men\'s 12.5)(Dark Grey/Safety Yellow),,,,,,,,130,,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,4,,,,,,,,,Dark Grey/Safety Yellow,,,,,men\'s 12.5,,,,,,
77782,77771,,,Men's  Asics GT-4000 (Men's Running) [#77771 var] (men\'s 12)(Dark Grey/Safety Yellow),,,,,,,,130,,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,5,,,,,,,,,Dark Grey/Safety Yellow,,,,,men\'s 12,,,,,,
77783,77771,,,Men's  Asics GT-4000 (Men's Running) [#77771 var] (men\'s 11.5)(Dark Grey/Safety Yellow),,,,,,,,130,,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,6,,,,,,,,,Dark Grey/Safety Yellow,,,,,men\'s 11.5,,,,,,
77784,77771,,,Men's  Asics GT-4000 (Men's Running) [#77771 var] (men\'s 11)(Dark Grey/Safety Yellow),,,,,,,,130,,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,7,,,,,,,,,Dark Grey/Safety Yellow,,,,,men\'s 11,,,,,,
77785,77771,,,Men's  Asics GT-4000 (Men's Running) [#77771 var] (men\'s 10.5)(Dark Grey/Safety Yellow),,,,,,,,130,,,,,taxable,Standard,,,,,2,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,8,,,,,,,,,Dark Grey/Safety Yellow,,,,,men\'s 10.5,,,,,,
77761,0,https://ritchiessports.com/wp-content/uploads/2020/04/asics-mens-1000.jpg,,Men's  Asics 1000 8 (Men's Running),,"Enjoy comfort with every stride with the men's GT-1000&#x2122; 8 running shoe, featuring FLYTEFOAM® Propel technology for a remarkably lightweight quality that will make you feel as light as a feather. With a jacquard mesh upper to allow the feet to breathe easily, this ASICS running shoe guarantees a comfortable fit, with its strategically located GEL® technology providing high-density shock absorption to extend comfort over the distance. In addition, the EVA foam to the sockliner and lasting provides excellent cushioning and rebound, while keeping the foot stable for enhanced safety throughout. The TRUSSTIC SYSTEM® technology also works to improve stability in the mid-foot area, helping to control torsion with the contoured midsole. The molded AHAR® rubber sponge helps reduce damage from excessive wear, allowing you to run on most terrains with confidence and reassurance. On top of providing comfort and stability, the GT-1000&#x2122; 8 running shoe also works to counteract overpronation with its DUOMAX® technology, which imparts essential firmness to the midsole and arch. A standard width makes them accessible to most runners, while signature ASICS branding lend a contemporary finishing touch.",mens-asics-1000-8-mens-running,2020-04-14 00:43:08,,Running Shoes,,50.00,,,,,taxable,Standard,,,,,1,instock,yes,no,,,,post.php?post=77761&action=edit,,publish,,,,no,no,-1,-1,,,,,no,0,variable,https://ritchiessports.com/product/mens-asics-1000-8-mens-running/,,,,Joshua Ritchie,,,Black/Black,,,,,"men\'s 8.5, men\'s 9, men\'s 10.5, men\'s 11.5, men\'s 12",,,,,,
